CageCode,Description,VendorCode,PreludeKey,ExportDate
00912,imartins@itwecps.com,2693.0,001!00912,2024-07-09 16:15:44.000
00916,,103964.0,001!00916,2024-07-09 16:15:44.000
00929,www.emhart-vic.com,3325.0,001!00929,2024-07-09 16:15:44.000
00988,QUOTES DIRECT,5.0,001!00988,2024-07-09 16:15:44.000
00994,sales@liquidmeasurement.com ,101153.0,001!00994,2024-07-09 16:15:44.000
009A6,support@sy-klone.com,,001!009A6,2024-07-09 16:15:44.000
009J2,FIST98@aol.com,109583.0,001!009J2,2024-07-09 16:15:44.000
009L1,info@connectronicscorp.com,,001!009L1,2024-07-09 16:15:44.000
009P6,KUNKLE IND DISTR,111842.0,001!009P6,2024-07-09 16:15:44.000
00A02,dweatherwax@enmet.com,,001!00A02,2024-07-09 16:15:44.000
00AC6,thomas.happel@masterelectronics.coM,,001!00AC6,2024-07-09 16:15:44.000
00AF8,shellie@metrexvalve.com,109243.0,001!00AF8,2024-07-09 16:15:44.000
00AG3,kdixon@aircontrol-inc.com,,001!00AG3,2024-07-09 16:15:44.000
00AW2,info@mpdinc.com,,001!00AW2,2024-07-09 16:15:44.000
00CP6,briank@brewertensioner.com,,001!00CP6,2024-07-09 16:15:44.000
00D27,tim.d.root@cummins.com,5.0,001!00D27,2024-07-09 16:15:44.000
00DR5,414-302-7347 ,5.0,001!00DR5,2024-07-09 16:15:44.000
00DW2,parker,5.0,001!00DW2,2024-07-09 16:15:44.000
00DW6,ANTHONY.ARENAS@Y2KFLUIDPOWER.C,,001!00DW6,2024-07-09 16:15:44.000
00E55,MANUFACTURERS (F)440-237-6179,,001!00E55,2024-07-09 16:15:44.000
00ET1,sales@secamerica.com,5.0,001!00ET1,2024-07-09 16:15:44.000
00ET4,julie.wolf@optoma.com,,001!00ET4,2024-07-09 16:15:44.000
00EU2,allan@stealthcomputer.com,4086.0,001!00EU2,2024-07-09 16:15:44.000
00FW5,billflowers@kjelectric.com,104457.0,001!00FW5,2024-07-09 16:15:44.000
00G44,,3197.0,001!00G44,2024-07-09 16:15:44.000
00G68,services.dss@rhmarine.com,,001!00G68,2024-07-09 16:15:44.000
00GR4,jhyatt@vortox.com,5.0,001!00GR4,2024-07-09 16:15:44.000
00H07,,3197.0,001!00H07,2024-07-09 16:15:44.000
00HA2,sales@harperengineering.com,,001!00HA2,2024-07-09 16:15:44.000
00HC0,SALES@CETOOLING.COM,,001!00HC0,2024-07-09 16:15:44.000
00HS9,,104457.0,001!00HS9,2024-07-09 16:15:44.000
00J42,,3197.0,001!00J42,2024-07-09 16:15:44.000
00J92,,3197.0,001!00J92,2024-07-09 16:15:44.000
00JR8,office@ctvalley.biz,,001!00JR8,2024-07-09 16:15:44.000
00JU0,SALES@LDALLEN.COM,6681.0,001!00JU0,2024-07-09 16:15:44.000
00KN7,cfm@interwebtechgroup.com,,001!00KN7,2024-07-09 16:15:44.000
00LN5,DSTANOSZEK@AIRLINEHYD.COM,,001!00LN5,2024-07-09 16:15:44.000
00M05,lance_maish@edwards.com,5.0,001!00M05,2024-07-09 16:15:44.000
00MA4,WITTER MFG (F) 972-660-8538,5.0,001!00MA4,2024-07-09 16:15:44.000
00MC3,BRUCH3@RUCHCARBIDE.COM,5.0,001!00MC3,2024-07-09 16:15:44.000
00MQ6,LINDCO (F) 508-485-9919,,001!00MQ6,2024-07-09 16:15:44.000
00MW9,johnr@raineinc.com,,001!00MW9,2024-07-09 16:15:44.000
00NQ8,mwhitt@trc4r.com,5945.0,001!00NQ8,2024-07-09 16:15:44.000
00NS2,,107320.0,001!00NS2,2024-07-09 16:15:44.000
00PP1,tham@awg-fittings.com,,001!00PP1,2024-07-09 16:15:44.000
00PP6,DIST,5.0,001!00PP6,2024-07-09 16:15:44.000
00PX1,STANLEY,,001!00PX1,2024-07-09 16:15:44.000
00PZ4,Debbie.Sanburn@baldor.abb.com,,001!00PZ4,2024-07-09 16:15:44.000
00Q97,johnnymulley@imperialengineer,5.0,001!00Q97,2024-07-09 16:15:44.000
00QR4,david.pecore@afcind.com,5.0,001!00QR4,2024-07-09 16:15:44.000
00QW8,csheehan@atlantic-group.com,,001!00QW8,2024-07-09 16:15:44.000
00R85,awilburn@airpathcompass.com,5.0,001!00R85,2024-07-09 16:15:44.000
00SV8,sales@norlake.com,,001!00SV8,2024-07-09 16:15:44.000
00T35,info@tabetmfg.com,5.0,001!00T35,2024-07-09 16:15:44.000
00U12,jochen.rosseel@aero-sense.com,105286.0,001!00U12,2024-07-09 16:15:44.000
00U45,sales@cwsa.biz,103009.0,001!00U45,2024-07-09 16:15:44.000
00UE5,BRUSH CERAMIC(F)520-294-8906,,001!00UE5,2024-07-09 16:15:44.000
00UF8,,7394.0,001!00UF8,2024-07-09 16:15:44.000
00UH6,sales@hydro-test.com,,001!00UH6,2024-07-09 16:15:44.000
00UX1,amenditto@manning-electric.com,,001!00UX1,2024-07-09 16:15:44.000
00V11,ELBIT (F) 817-231-4499,5.0,001!00V11,2024-07-09 16:15:44.000
00VT4,JMS (F)704-878-6166,5.0,001!00VT4,2024-07-09 16:15:44.000
00W74,tara.rindskopf@aircraftfast.co,,001!00W74,2024-07-09 16:15:44.000
00WN3,simon@gtacontainers.com,,001!00WN3,2024-07-09 16:15:44.000
00WU8,asnow@h-pproducts.com,102376.0,001!00WU8,2024-07-09 16:15:44.000
00XC0,,107554.0,001!00XC0,2024-07-09 16:15:44.000
00Y62,don.beltz@ametek.com,5.0,001!00Y62,2024-07-09 16:15:44.000
00Y95,ivan.paz@rolls-royce.com,106515.0,001!00Y95,2024-07-09 16:15:44.000
00ZP1,,5978.0,001!00ZP1,2024-07-09 16:15:44.000
00ZS7,HARSCO F. 717-232-6755,,001!00ZS7,2024-07-09 16:15:44.000
00ZT6,tim.d.root@cummins.com,111744.0,001!00ZT6,2024-07-09 16:15:44.000
00ZW31,,,001!00ZW31,2024-07-09 16:15:44.000
01001,,,001!01001,2024-07-09 16:15:44.000
01002,customerservice@viewsonic.com,5.0,001!01002,2024-07-09 16:15:44.000
01014,Sales@procomtech.com,102375.0,001!01014,2024-07-09 16:15:44.000
01019,enquiries@mawdsleysber.com,105489.0,001!01019,2024-07-09 16:15:44.000
01021,pdinsmore@spectortextile.com,,001!01021,2024-07-09 16:15:44.000
01022,,7144.0,001!01022,2024-07-09 16:15:44.000
01029,CKNAPIK@TORQ.COM,5.0,001!01029,2024-07-09 16:15:44.000
01035,sales@durabrake.com ,,001!01035,2024-07-09 16:15:44.000
01045,information@compositesone.com,454.0,001!01045,2024-07-09 16:15:44.000
01055,info@astro-tek.com,,001!01055,2024-07-09 16:15:44.000
01074,rfq@us.schroth.com,,001!01074,2024-07-09 16:15:44.000
01083,BIDDING DIRECT,5.0,001!01083,2024-07-09 16:15:44.000
01084,josh.lenart@nord-lock.com,5.0,001!01084,2024-07-09 16:15:44.000
01113,,6966.0,001!01113,2024-07-09 16:15:44.000
0112,,,001!0112,2024-07-09 16:15:44.000
01121,info@aerofabcompany.com,1370.0,001!01121,2024-07-09 16:15:44.000
01124,,,001!01124,2024-07-09 16:15:44.000
01137,Mary.wells@aafintl.com,,001!01137,2024-07-09 16:15:44.000
01139,sales@skytoweraviation.com,100110.0,001!01139,2024-07-09 16:15:44.000
01169,,,001!01169,2024-07-09 16:15:44.000
01170,jamesj@coast-lineintl.com,2921.0,001!01170,2024-07-09 16:15:44.000
01173,dont bother (metro reliable)&,,001!01173,2024-07-09 16:15:44.000
01178,couplingsusa@flender.com,8732.0,001!01178,2024-07-09 16:15:44.000
01179,INFO@INSCOUSA.COM,5.0,001!01179,2024-07-09 16:15:44.000
01195,prosserj@starktech.com,,001!01195,2024-07-09 16:15:44.000
011P5,sales@martincab.com ,5.0,001!011P5,2024-07-09 16:15:44.000
01209,Sales.uk@ovivowater.com,,001!01209,2024-07-09 16:15:44.000
01212,,106513.0,001!01212,2024-07-09 16:15:44.000
01226,BIDS  DIRECT,5.0,001!01226,2024-07-09 16:15:44.000
01234,svillalobos@bsnsports.com,,001!01234,2024-07-09 16:15:44.000
01238,QUOTING DIRECT,,001!01238,2024-07-09 16:15:44.000
0124B,,,001!0124B,2024-07-09 16:15:44.000
01252,blue@techniquip.com,485.0,001!01252,2024-07-09 16:15:44.000
01272,nwerra@globalindustrial.com,,001!01272,2024-07-09 16:15:44.000
01276,sales@tenebraex.com,106165.0,001!01276,2024-07-09 16:15:44.000
01288,,101063.0,001!01288,2024-07-09 16:15:44.000
01289,nbowers@skybolt.com,101458.0,001!01289,2024-07-09 16:15:44.000
01295,MUST USE DIST'S - V# 6997 & ,2538.0,001!01295,2024-07-09 16:15:44.000
012C4,bwilder@murraycorp.com,,001!012C4,2024-07-09 16:15:44.000
012L8,,104031.0,001!012L8,2024-07-09 16:15:44.000
012M4,DONT BOTHER ,5.0,001!012M4,2024-07-09 16:15:44.000
01306,NO GO,5.0,001!01306,2024-07-09 16:15:44.000
01315,psdorders@westinpublicsafety.c,,001!01315,2024-07-09 16:15:44.000
01326,HFUGITT@HKEQUIPMENT.COM 1/16,5.0,001!01326,2024-07-09 16:15:44.000
0133,,,001!0133,2024-07-09 16:15:44.000
01330,GRAYBAR INT'L (F)787-622-2256,,001!01330,2024-07-09 16:15:44.000
01341,eric@benzairborne.com,,001!01341,2024-07-09 16:15:44.000
01343,jfinnerty@hoyt-corp.com,,001!01343,2024-07-09 16:15:44.000
01351,,104004.0,001!01351,2024-07-09 16:15:44.000
01354,sales@stp-az.com,,001!01354,2024-07-09 16:15:44.000
01356,,,001!01356,2024-07-09 16:15:44.000
01359,PRICING ON WEBSITE NO DISCOUNT,100919.0,001!01359,2024-07-09 16:15:44.000
01361,,,001!01361,2024-07-09 16:15:44.000
01365,thomas@strapworks.com,,001!01365,2024-07-09 16:15:44.000
01378,angela.freeland@teledyne.com,,001!01378,2024-07-09 16:15:44.000
01379,s.swieda@bandtmarketing.com,3384.0,001!01379,2024-07-09 16:15:44.000
0138N,ISG THERMAL (F)678-442-1295,5.0,001!0138N,2024-07-09 16:15:44.000
013D8,ULVEN DIST LINMARR DON'T USE,,001!013D8,2024-07-09 16:15:44.000
013F4,specialapplications@cmworks.com SOL,5.0,001!013F4,2024-07-09 16:15:44.000
013J0,,105250.0,001!013J0,2024-07-09 16:15:44.000
01406,info@brecoflex.com,7300.0,001!01406,2024-07-09 16:15:44.000
01411,KHODGKINSON@FLO-GAGE.COM,2959.0,001!01411,2024-07-09 16:15:44.000
01413,INFO@ASTSENSORS.COM,6760.0,001!01413,2024-07-09 16:15:44.000
01414,,3379.0,001!01414,2024-07-09 16:15:44.000
01417,cstephen@markertek.com,102457.0,001!01417,2024-07-09 16:15:44.000
0141B,ksnyder@pines-eng.com,5.0,001!0141B,2024-07-09 16:15:44.000
01420,sales@rrequipment.com ,3930.0,001!01420,2024-07-09 16:15:44.000
01425,smason@tyonekgroup.com,101512.0,001!01425,2024-07-09 16:15:44.000
01428,megan.melcher@burkert.com &,2252.0,001!01428,2024-07-09 16:15:44.000
01456,thomas.happel@masterelectronics.com,,001!01456,2024-07-09 16:15:44.000
01459,rfq@sncmfg.com ,,001!01459,2024-07-09 16:15:44.000
01479,customerservice@gardtecinc.com,,001!01479,2024-07-09 16:15:44.000
01480,anthony.petriello@wurthusa.com,,001!01480,2024-07-09 16:15:44.000
01490,,913.0,001!01490,2024-07-09 16:15:44.000
01496,doug.vogel@diamondvogel.com,6981.0,001!01496,2024-07-09 16:15:44.000
014V6,tkinnucan@hoosiertank.com,7071.0,001!014V6,2024-07-09 16:15:44.000
01517,panthony@boyertrucks.com,6558.0,001!01517,2024-07-09 16:15:44.000
01518,JIMA@RICHARDSELECTRIC.COM,104022.0,001!01518,2024-07-09 16:15:44.000
01526,bfaller@tingue.com,2701.0,001!01526,2024-07-09 16:15:44.000
01534,cliff.adelhelm@flir.com,3379.0,001!01534,2024-07-09 16:15:44.000
01548,CUSTOMERSERVICE@DAVCO.COM,,001!01548,2024-07-09 16:15:44.000
01551,TGrochoske@tvi-i.com,100321.0,001!01551,2024-07-09 16:15:44.000
01555,shlomit.valenci@elbitsystems.c,3646.0,001!01555,2024-07-09 16:15:44.000
01556,info@vossengineering.com,2502.0,001!01556,2024-07-09 16:15:44.000
01579,sales@aviamarinecompany.com,103433.0,001!01579,2024-07-09 16:15:44.000
01587,johnq@liftking.com,,001!01587,2024-07-09 16:15:44.000
01599,kyle@woodslogging.com,101154.0,001!01599,2024-07-09 16:15:44.000
015E5,tim@jmac.com,102708.0,001!015E5,2024-07-09 16:15:44.000
015L7,BODINE - USE KJ ELECT - 2959,102945.0,001!015L7,2024-07-09 16:15:44.000
015N2,BOB@VETFAST.COM 1/16,105681.0,001!015N2,2024-07-09 16:15:44.000
015V5,SALES@CHANDLERMACHINECO.COM,,001!015V5,2024-07-09 16:15:44.000
015Y3,eycs@eytechnologies.com,5.0,001!015Y3,2024-07-09 16:15:44.000
015Z4,srw@sealmaster.com,,001!015Z4,2024-07-09 16:15:44.000
01634,,5.0,001!01634,2024-07-09 16:15:44.000
01637,,101568.0,001!01637,2024-07-09 16:15:44.000
01652,MUST USE DIST - 03/15,1336.0,001!01652,2024-07-09 16:15:44.000
01656,*MUST USE DISTRIBUTION*,8168.0,001!01656,2024-07-09 16:15:44.000
0166B,wpfasteners@mweb.co.za,111349.0,001!0166B,2024-07-09 16:15:44.000
01673,DELTONA (F) 904-736-9984,5.0,001!01673,2024-07-09 16:15:44.000
01685,fremo@fremo.com,101932.0,001!01685,2024-07-09 16:15:44.000
01692,SALES@CUSTOMTIEDOWNS.COM,100078.0,001!01692,2024-07-09 16:15:44.000
01697,info@vetronixresearch.com,5.0,001!01697,2024-07-09 16:15:44.000
016TW0,,2.0,001!016TW0,2024-07-09 16:15:44.000
016V7,melissa@ff1.com,,001!016V7,2024-07-09 16:15:44.000
01713,sdeshler@insultech.com,3715.0,001!01713,2024-07-09 16:15:44.000
01715,ALPINE (F)201-666-2569,,001!01715,2024-07-09 16:15:44.000
01726,,,001!01726,2024-07-09 16:15:44.000
01766,EVAIR (F)9403251373,110530.0,001!01766,2024-07-09 16:15:44.000
01767,hpatterson@maydaymfg.com,6032.0,001!01767,2024-07-09 16:15:44.000
0177B,mpiecuch@adalet.com,5.0,001!0177B,2024-07-09 16:15:44.000
017J3,sgeorgi@cityelectricweb.com>,5.0,001!017J3,2024-07-09 16:15:44.000
017N4,,,001!017N4,2024-07-09 16:15:44.000
017N7,0SRL5,,001!017N7,2024-07-09 16:15:44.000
017S5,jon.wingler@rolls-royce.com,,001!017S5,2024-07-09 16:15:44.000
017T6,info@lablind.com,,001!017T6,2024-07-09 16:15:44.000
017X3,,8595.0,001!017X3,2024-07-09 16:15:44.000
01843,DATAPROBE-sales@dataprobe.com,,001!01843,2024-07-09 16:15:44.000
01852,ADI IS DIST - DO NOT USE 8/23,,001!01852,2024-07-09 16:15:44.000
01882,sales@optometrics.com,5.0,001!01882,2024-07-09 16:15:44.000
01884,sales@chemfree.com,6117.0,001!01884,2024-07-09 16:15:44.000
01891,,,001!01891,2024-07-09 16:15:44.000
018G6,challenge machinery,,001!018G6,2024-07-09 16:15:44.000
018M4,lorozco@roperwhitney.com,5.0,001!018M4,2024-07-09 16:15:44.000
018U9,CUSTOMERSERVICEBELTS@TIMKEN.CO,66.0,001!018U9,2024-07-09 16:15:44.000
01930,mwebster@ballymore.com,6635.0,001!01930,2024-07-09 16:15:44.000
01943,info@hbabrams.com,3229.0,001!01943,2024-07-09 16:15:44.000
01954,,105119.0,001!01954,2024-07-09 16:15:44.000
01961,chelsea.pimentel@avl.com,3215.0,001!01961,2024-07-09 16:15:44.000
01963,WILL NOT QUOTE - 07/13,,001!01963,2024-07-09 16:15:44.000
01972,tomeka.cockerham@dutchvalley.c,109304.0,001!01972,2024-07-09 16:15:44.000
01993,,,001!01993,2024-07-09 16:15:44.000
019990,,,001!019990,2024-07-09 16:15:44.000
019L2,Pete.kundin@upstatevalveandcon,106256.0,001!019L2,2024-07-09 16:15:44.000
019R9,toddl@rugged-controls.com,8092.0,001!019R9,2024-07-09 16:15:44.000
019U4,IMPULSE@TELEDYNE.COM,,001!019U4,2024-07-09 16:15:44.000
01AK0,sales@nacsemi.com,109082.0,001!01AK0,2024-07-09 16:15:44.000
01BB2,b.wheeler@winconn.com,5.0,001!01BB2,2024-07-09 16:15:44.000
01BE4,BENNETT IND (F)804-266-0362,5.0,001!01BE4,2024-07-09 16:15:44.000
01CK3,chip.melton@cherokee-federal.c,5.0,001!01CK3,2024-07-09 16:15:44.000
01CL4,cday@mercertool.com,,001!01CL4,2024-07-09 16:15:44.000
01CW0,,106352.0,001!01CW0,2024-07-09 16:15:44.000
01CW5,ssmigel@kapco.com,110787.0,001!01CW5,2024-07-09 16:15:44.000
01DA8,THEY BID ALL DLA DIRECTLY,,001!01DA8,2024-07-09 16:15:44.000
01DJ8,jennifer.dawson@ecidg.com,,001!01DJ8,2024-07-09 16:15:44.000
01EK8,NOT IN BUSINESS,5.0,001!01EK8,2024-07-09 16:15:44.000
01EK9,distributor,,001!01EK9,2024-07-09 16:15:44.000
